타임스탬프,전공 (학과),나는 이 수업 이전에 컴퓨터 관련된 내용을 학습한 경험이 있다.,나는 소프트웨어 코딩 경험이 있다.,나는 컴퓨터 사용을 어려움 없이 할 수 있다.,나는 소프트웨어 코딩을 통하여 문제해결능력이 향상 될 것이라고 생각한다.,나는 소프트웨어 코딩을 통하여 창의력이 향상 될 것이라고 생각한다.,나는 문제를 익숙한 형태로 전환하여 해결하는 것(변환적 사고력)에 어려움이 없다.,자동차 운전 경험이 있으면 트럭 운전을 쉽게 터득할 수 있을 것이라 이해할 수 있다.,나는 문제해결 방법을 반복적으로 확장시키며 적용하여  커다란 문제를 해결하는 것(재귀적 사고력)에 어려움이 없다.,작은 인형은 큰 인형 안에 반복적으로 넣어서 제일 큰 하나의 인형 안에 모두 넣는 것을 이해할 수 있다.,나는 생각이나 표현하고자 하는 내용을 기호화하여 표현하는 것(코드적 사고력)에 어려움이 없다.,아래의 바코드 기호 표현 방법을 이해할 수 있다.,나는 복잡한 내용을 간단하게 표현하는 것(단순화 사고력)에 어려움이 없다.,제시된 대상을 단순하게 표현하는 것을 이해할 수 있다.,나는 어떠한 현상의 대표성을 찾아내어 개념화하는 것(추상화 사고력)에 어려움이 없다.,아래의 그림을 보고 여행을 계획하는 것임을 이해할 수 있다.,나는 복잡한 문제를 작은 문제로 나누어 전체 문제를 해결하는 것(분해적 사고력)에 어려움이 없다.,피자를 먹을 때 한 판을 다 들고 먹지 않고 조각을 내어 한 조각씩 먹는 것이 적절한 방법임을 이해할 수 있다.,나는 필요한 것을 미리 선택하여 준비하는 것(cache적 사고력)에 어려움이 없다.,비가 올것 같은 경우 미리 우산을 준비하는 것을 이해할 수 있다.,나는 제한된 자원을 효율적으로 배분하여 전체 문제를 해결하는 것(조정적 사고력)에 어려움이 없다.,"17마리의 양을 3명의 형제가 1/2, 1/3, 1/9씩 나누어 가지기 위하여서는 1마리의 양을 빌려서 해결 후 돌려주면 되는 것을 이해할 수 있다.",나는 경험을 통하여 알고 있는 내용을 적용해서 새로운 개념을 확립하는 것(경험적 추론)에 어려움이 없다.,네모 그리기를 학습한 후 육각형 그리기를 할 수 있다.,나는 단계적 절차를 통하여 전체 문제를 해결(알고리즘적 사고력)하는 것에 어려움이 없다.,그림을 그리기 위하여 다음과 같은 단계가 필요한 것을 이해할 수 있다.,나는 문제 해결을 위하여 자료를 수집하는 것에 어려움이 없다.,음식 조리에 도전할 때 만드는 방법을 알기 위하여 다음과 같은 방법 중 하나를 적절하게 선택할 수 있다.,나는 수집된 자료들을 목적에 따라 분석하는 것에 어려움이 없다.,가장 빠르게 표를 구매하기 위하여 다음과 같은 상황을 이해하고 분석할 수 있다.,나는 분석된 자료가 무엇을 의미하는지 이해하고 표현하는 것에 어려움이 없다.,"수집된 자료를 분석하여 그래프, 차트, 글, 이미지 등으로 표현할 수 있다.",나는 계획한 문제해결 방법의 결과를 예측하고 이해하는 것에 어려움이 없다.,시속 60km로 달리는 자동차가 충돌할 때 에어백이 올바르게 작동되는지 예측하기 위하여 실험을 통해 검증해야하는 것을 이해할 수 있다.,나는 여러가지 일을 동시에 진행하는 것에 어려움이 없다.,"과제를 하면서 친구들과 단체 톡을 하고, 새로 발표된 힙합 음악을 들으며 내일 할 일을 점검할 수 있다.",나는  주어진 문제를 올바르게 이해하고 해결해야할 내용을 정의하는 것에 어려움이 없다.,학교에 가기 싫은 친구가 진짜 아픈것이 아니라 다른 문제로 인하여 아픈 척하는 경우 원인을 먼저 해결해야하는 것을 이해할 수 있다.,나는  주어진 상황에 적용된 규칙을 찾아내어 일반화하는 것에 어려움이 없다.,아래 물음표에 해당하는 패턴을 찾을 수 있다.,나는 감정에 치우치지 않고 논리적으로 문제를 해결하는 것에 어려움이 없다.,자신이 아이의 엄마라고 주장하는 두 엄마 중에 솔로몬이 진짜 엄마를 찾은 지혜를 이해할 수 있다.,나는 계산을 통하여 답을 구하는 것에 어려움이 없다.,평상 시 하루 10개의 사과를 먹는 기린이 오늘은 평상 시의 5배의 사과를 준비한 후 준비한 사과의 30%만 먹었다면 몇 개의 사과를 먹었는지 계산할 수 있다.,나는 3차원의 공간을 인지하는 것에 어려움이 없다.,아래의 그림에서 블록이 몇 개 사용되었는지 답할 수 있다.
3-9-2020 17:55:53,경영학계열,아니요,아니요,매우 아니다,보통이다,보통이다,매우 아니다,그렇다,보통이다,보통이다,아니다,매우 그렇다,그렇다,매우 그렇다,그렇다,매우 그렇다,보통이다,매우 그렇다,매우 그렇다,매우 그렇다,그렇다,아니다,보통이다,그렇다,그렇다,매우 그렇다,그렇다,매우 그렇다,보통이다,그렇다,보통이다,보통이다,그렇다,그렇다,아니다,아니다,그렇다,매우 그렇다,보통이다,아니다,매우 그렇다,매우 그렇다,아니다,그렇다,그렇다,매우 그렇다
3-9-2020 17:56:19,경영학계열,아니요,아니요,그렇다,매우 그렇다,매우 그렇다,그렇다,매우 그렇다,매우 그렇다,매우 그렇다,매우 그렇다,매우 그렇다,매우 그렇다,매우 그렇다,매우 그렇다,매우 그렇다,매우 그렇다,매우 그렇다,매우 그렇다,매우 그렇다,매우 그렇다,매우 그렇다,매우 그렇다,매우 그렇다,매우 그렇다,매우 그렇다,매우 그렇다,매우 그렇다,매우 그렇다,매우 그렇다,매우 그렇다,매우 그렇다,매우 그렇다,매우 그렇다,매우 그렇다,매우 그렇다,매우 그렇다,매우 그렇다,매우 그렇다,매우 그렇다,매우 그렇다,매우 그렇다,매우 그렇다,매우 그렇다,매우 그렇다,매우 그렇다
3-9-2020 17:57:57,경영학계열,아니요,아니요,그렇다,그렇다,그렇다,그렇다,매우 그렇다,그렇다,매우 그렇다,그렇다,매우 그렇다,그렇다,매우 그렇다,그렇다,매우 그렇다,그렇다,매우 그렇다,보통이다,매우 그렇다,그렇다,매우 그렇다,그렇다,그렇다,매우 그렇다,매우 그렇다,그렇다,매우 그렇다,그렇다,그렇다,그렇다,매우 그렇다,보통이다,매우 그렇다,보통이다,그렇다,그렇다,매우 그렇다,그렇다,보통이다,보통이다,매우 그렇다,매우 그렇다,매우 그렇다,그렇다,보통이다
3-9-2020 18:09:54,경영학계열,아니요,아니요,그렇다,매우 그렇다,보통이다,매우 그렇다,매우 그렇다,매우 그렇다,매우 그렇다,매우 그렇다,매우 그렇다,매우 그렇다,매우 그렇다,그렇다,매우 그렇다,매우 그렇다,매우 그렇다,매우 그렇다,매우 그렇다,매우 그렇다,보통이다,매우 그렇다,그렇다,매우 그렇다,매우 그렇다,매우 그렇다,매우 그렇다,매우 그렇다,매우 그렇다,매우 그렇다,매우 그렇다,그렇다,매우 그렇다,그렇다,보통이다,매우 그렇다,그렇다,매우 그렇다,매우 그렇다,매우 그렇다,매우 그렇다,매우 그렇다,매우 그렇다,매우 그렇다,그렇다
3-9-2020 18:11:42,경영학계열,아니요,아니요,보통이다,매우 그렇다,그렇다,아니다,그렇다,보통이다,그렇다,아니다,보통이다,보통이다,매우 그렇다,그렇다,그렇다,그렇다,그렇다,그렇다,매우 그렇다,매우 그렇다,그렇다,그렇다,매우 그렇다,그렇다,매우 그렇다,그렇다,그렇다,그렇다,매우 그렇다,그렇다,그렇다,보통이다,매우 그렇다,보통이다,보통이다,아니다,그렇다,보통이다,매우 그렇다,그렇다,그렇다,보통이다,매우 그렇다,보통이다,매우 그렇다
3-9-2020 18:11:46,경영학계열,예,예,그렇다,그렇다,그렇다,그렇다,그렇다,그렇다,그렇다,그렇다,그렇다,그렇다,그렇다,그렇다,그렇다,그렇다,그렇다,그렇다,그렇다,그렇다,그렇다,그렇다,그렇다,그렇다,그렇다,그렇다,그렇다,그렇다,그렇다,그렇다,그렇다,그렇다,그렇다,그렇다,그렇다,그렇다,그렇다,그렇다,그렇다,매우 그렇다,그렇다,그렇다,그렇다,그렇다,그렇다
3-9-2020 18:13:12,경영학계열,예,아니요,그렇다,매우 그렇다,매우 그렇다,그렇다,그렇다,그렇다,매우 그렇다,그렇다,매우 그렇다,그렇다,매우 그렇다,매우 그렇다,매우 그렇다,매우 그렇다,매우 그렇다,매우 그렇다,매우 그렇다,그렇다,보통이다,매우 그렇다,매우 그렇다,매우 그렇다,매우 그렇다,그렇다,매우 그렇다,그렇다,그렇다,매우 그렇다,매우 그렇다,그렇다,매우 그렇다,보통이다,아니다,그렇다,매우 그렇다,매우 그렇다,매우 그렇다,그렇다,매우 그렇다,매우 그렇다,매우 그렇다,매우 그렇다,매우 그렇다
3-9-2020 19:12:57,경영학계열,예,아니요,보통이다,그렇다,그렇다,보통이다,그렇다,그렇다,그렇다,보통이다,매우 그렇다,보통이다,그렇다,보통이다,그렇다,보통이다,매우 그렇다,보통이다,매우 그렇다,그렇다,매우 그렇다,그렇다,아니다,보통이다,보통이다,보통이다,보통이다,보통이다,보통이다,보통이다,그렇다,보통이다,그렇다,그렇다,그렇다,보통이다,보통이다,보통이다,그렇다,보통이다,보통이다,그렇다,매우 그렇다,그렇다,매우 그렇다
3-9-2020 19:20:48,글로벌리더계열,아니요,아니요,보통이다,그렇다,그렇다,그렇다,보통이다,보통이다,그렇다,그렇다,매우 그렇다,그렇다,매우 그렇다,그렇다,그렇다,보통이다,매우 그렇다,그렇다,매우 그렇다,그렇다,그렇다,그렇다,그렇다,그렇다,그렇다,그렇다,그렇다,그렇다,그렇다,그렇다,그렇다,그렇다,그렇다,그렇다,그렇다,그렇다,그렇다,그렇다,그렇다,매우 그렇다,보통이다,그렇다,그렇다,그렇다,아니다
3-9-2020 19:22:38,경영학계열,아니요,아니요,보통이다,매우 그렇다,매우 그렇다,그렇다,그렇다,그렇다,그렇다,보통이다,그렇다,그렇다,매우 그렇다,보통이다,매우 그렇다,매우 그렇다,매우 그렇다,그렇다,매우 그렇다,매우 그렇다,매우 그렇다,그렇다,매우 그렇다,그렇다,매우 그렇다,그렇다,매우 그렇다,그렇다,그렇다,보통이다,보통이다,보통이다,그렇다,아니다,아니다,보통이다,그렇다,그렇다,그렇다,그렇다,매우 그렇다,보통이다,매우 그렇다,보통이다,그렇다
3-9-2020 19:25:08,경영학계열,예,예,보통이다,보통이다,보통이다,보통이다,그렇다,그렇다,매우 그렇다,보통이다,매우 그렇다,그렇다,매우 그렇다,그렇다,매우 그렇다,그렇다,매우 그렇다,매우 그렇다,매우 그렇다,그렇다,아니다,그렇다,매우 그렇다,그렇다,매우 그렇다,매우 그렇다,매우 그렇다,매우 그렇다,보통이다,그렇다,보통이다,보통이다,그렇다,보통이다,아니다,그렇다,그렇다,그렇다,그렇다,그렇다,매우 그렇다,그렇다,보통이다,매우 그렇다,그렇다
3-9-2020 19:28:13,경영학계열,예,아니요,아니다,그렇다,그렇다,아니다,그렇다,아니다,그렇다,아니다,그렇다,아니다,그렇다,아니다,그렇다,아니다,그렇다,그렇다,그렇다,그렇다,그렇다,보통이다,그렇다,아니다,매우 그렇다,매우 그렇다,그렇다,그렇다,그렇다,그렇다,그렇다,보통이다,그렇다,아니다,아니다,보통이다,그렇다,보통이다,그렇다,그렇다,그렇다,보통이다,보통이다,아니다,그렇다
3-9-2020 19:35:54,경영학계열,예,아니요,그렇다,매우 그렇다,매우 그렇다,매우 그렇다,매우 그렇다,매우 그렇다,매우 그렇다,매우 그렇다,매우 그렇다,매우 그렇다,매우 그렇다,매우 그렇다,매우 그렇다,매우 그렇다,매우 그렇다,매우 그렇다,매우 그렇다,매우 그렇다,매우 그렇다,매우 그렇다,매우 그렇다,매우 그렇다,매우 그렇다,매우 그렇다,매우 그렇다,매우 그렇다,매우 그렇다,매우 그렇다,매우 그렇다,매우 그렇다,매우 그렇다,매우 그렇다,매우 그렇다,매우 그렇다,매우 그렇다,매우 그렇다,매우 그렇다,매우 그렇다,매우 그렇다,매우 그렇다,매우 그렇다,매우 그렇다,매우 그렇다
3-9-2020 20:22:50,경영학계열,예,아니요,아니다,그렇다,그렇다,보통이다,그렇다,그렇다,그렇다,그렇다,그렇다,그렇다,그렇다,그렇다,그렇다,그렇다,그렇다,그렇다,그렇다,그렇다,그렇다,그렇다,매우 그렇다,그렇다,그렇다,매우 그렇다,매우 그렇다,매우 그렇다,보통이다,보통이다,그렇다,그렇다,그렇다,보통이다,보통이다,그렇다,그렇다,그렇다,그렇다,그렇다,그렇다,그렇다,매우 그렇다,매우 그렇다,그렇다
3-9-2020 21:58:03,글로벌경영학계열,아니요,아니요,그렇다,매우 그렇다,그렇다,그렇다,매우 그렇다,그렇다,매우 그렇다,매우 그렇다,매우 그렇다,그렇다,매우 그렇다,그렇다,매우 그렇다,그렇다,매우 그렇다,그렇다,매우 그렇다,보통이다,아니다,그렇다,매우 그렇다,매우 그렇다,매우 그렇다,그렇다,매우 그렇다,그렇다,보통이다,그렇다,그렇다,그렇다,보통이다,아니다,매우 아니다,그렇다,매우 그렇다,그렇다,그렇다,그렇다,그렇다,아니다,그렇다,그렇다,매우 그렇다
3-9-2020 21:58:39,글로벌경영학계열,아니요,아니요,매우 그렇다,매우 그렇다,매우 그렇다,매우 그렇다,매우 그렇다,보통이다,매우 그렇다,매우 그렇다,매우 그렇다,매우 그렇다,매우 그렇다,매우 그렇다,매우 그렇다,매우 그렇다,매우 그렇다,그렇다,매우 그렇다,그렇다,매우 그렇다,매우 그렇다,매우 그렇다,매우 그렇다,매우 그렇다,매우 그렇다,매우 그렇다,매우 그렇다,매우 그렇다,매우 그렇다,매우 그렇다,매우 그렇다,매우 그렇다,보통이다,보통이다,매우 그렇다,매우 그렇다,매우 그렇다,매우 그렇다,보통이다,매우 그렇다,매우 그렇다,매우 그렇다,매우 그렇다,매우 그렇다
3-9-2020 22:00:15,글로벌경영학계열,예,아니요,그렇다,그렇다,그렇다,그렇다,매우 그렇다,그렇다,매우 그렇다,그렇다,매우 그렇다,매우 그렇다,매우 그렇다,보통이다,매우 그렇다,그렇다,매우 그렇다,매우 그렇다,매우 그렇다,그렇다,아니다,그렇다,매우 그렇다,보통이다,매우 그렇다,매우 그렇다,매우 그렇다,그렇다,매우 그렇다,보통이다,그렇다,그렇다,매우 그렇다,그렇다,매우 그렇다,그렇다,그렇다,그렇다,매우 그렇다,보통이다,매우 그렇다,매우 그렇다,매우 그렇다,그렇다,매우 그렇다
3-9-2020 22:00:43,글로벌경제학계열,예,아니요,그렇다,그렇다,그렇다,그렇다,그렇다,보통이다,매우 그렇다,그렇다,매우 그렇다,그렇다,그렇다,보통이다,그렇다,그렇다,그렇다,그렇다,매우 그렇다,보통이다,보통이다,보통이다,보통이다,매우 그렇다,매우 그렇다,그렇다,그렇다,그렇다,그렇다,보통이다,그렇다,그렇다,그렇다,보통이다,그렇다,그렇다,그렇다,아니다,그렇다,보통이다,그렇다,그렇다,그렇다,보통이다,그렇다
3-9-2020 22:02:20,경영학계열,아니요,아니요,그렇다,그렇다,그렇다,보통이다,매우 그렇다,그렇다,매우 그렇다,그렇다,그렇다,보통이다,매우 그렇다,보통이다,보통이다,보통이다,매우 그렇다,매우 그렇다,매우 그렇다,그렇다,보통이다,그렇다,매우 그렇다,그렇다,매우 그렇다,그렇다,매우 그렇다,보통이다,매우 그렇다,보통이다,보통이다,보통이다,매우 그렇다,보통이다,보통이다,보통이다,그렇다,보통이다,그렇다,매우 그렇다,매우 그렇다,보통이다,매우 그렇다,그렇다,매우 그렇다
3-9-2020 22:18:34,경영학계열,아니요,아니요,보통이다,매우 그렇다,그렇다,그렇다,매우 그렇다,그렇다,그렇다,매우 그렇다,아니다,매우 그렇다,매우 그렇다,매우 그렇다,매우 그렇다,그렇다,그렇다,매우 그렇다,매우 그렇다,매우 그렇다,보통이다,그렇다,그렇다,매우 그렇다,매우 그렇다,매우 그렇다,매우 그렇다,매우 그렇다,매우 그렇다,매우 그렇다,매우 그렇다,매우 그렇다,매우 그렇다,보통이다,아니다,그렇다,그렇다,그렇다,매우 그렇다,그렇다,매우 그렇다,그렇다,매우 그렇다,매우 그렇다,매우 그렇다
3-9-2020 22:20:48,경영학계열,아니요,아니요,보통이다,그렇다,보통이다,그렇다,그렇다,그렇다,그렇다,그렇다,그렇다,그렇다,그렇다,매우 아니다,그렇다,그렇다,그렇다,그렇다,그렇다,그렇다,그렇다,그렇다,그렇다,그렇다,그렇다,그렇다,그렇다,그렇다,그렇다,그렇다,그렇다,그렇다,그렇다,그렇다,그렇다,그렇다,그렇다,그렇다,그렇다,그렇다,그렇다,그렇다,그렇다,그렇다,그렇다
3-9-2020 22:22:37,경영학계열,아니요,아니요,보통이다,매우 그렇다,그렇다,보통이다,매우 그렇다,보통이다,매우 그렇다,그렇다,매우 그렇다,보통이다,매우 그렇다,아니다,그렇다,그렇다,매우 그렇다,보통이다,매우 그렇다,그렇다,아니다,그렇다,매우 그렇다,그렇다,매우 그렇다,그렇다,매우 그렇다,그렇다,그렇다,보통이다,그렇다,그렇다,매우 그렇다,아니다,보통이다,보통이다,매우 그렇다,그렇다,매우 그렇다,보통이다,매우 그렇다,그렇다,매우 그렇다,그렇다,매우 그렇다
